Time;pod;Value;
2022-04-07 11:40:01;catalog-service-5df84bc88c-k8v9q;0.01618171;
2022-04-07 11:39:31;catalog-service-5df84bc88c-k8v9q;0.01641616;
2022-04-07 11:39:01;catalog-service-5df84bc88c-k8v9q;0.01641616;
2022-04-07 11:38:31;catalog-service-5df84bc88c-k8v9q;0.01561832;
2022-04-07 11:38:01;catalog-service-5df84bc88c-k8v9q;0.01552869;
2022-04-07 11:37:31;catalog-service-5df84bc88c-k8v9q;0.01530596;
2022-04-07 11:37:01;catalog-service-5df84bc88c-k8v9q;0.01651183;
2022-04-07 11:36:31;catalog-service-5df84bc88c-k8v9q;0.01651183;
2022-04-07 11:36:01;catalog-service-5df84bc88c-k8v9q;0.01651183;
2022-04-07 11:35:31;catalog-service-5df84bc88c-k8v9q;0.01666014;
2022-04-07 11:35:01;catalog-service-5df84bc88c-k8v9q;0.01666014;
2022-04-07 11:34:31;catalog-service-5df84bc88c-k8v9q;0.01666014;
2022-04-07 11:34:01;catalog-service-5df84bc88c-k8v9q;0.01666014;
2022-04-07 11:33:31;catalog-service-5df84bc88c-k8v9q;0.01666014;
2022-04-07 11:33:01;catalog-service-5df84bc88c-k8v9q;0.01571886;
2022-04-07 11:32:31;catalog-service-5df84bc88c-k8v9q;0.01581365;
2022-04-07 11:32:01;catalog-service-5df84bc88c-k8v9q;0.01508138;
2022-04-07 11:31:31;catalog-service-5df84bc88c-k8v9q;0.01685207;
2022-04-07 11:31:01;catalog-service-5df84bc88c-k8v9q;0.01692397;
2022-04-07 11:30:31;catalog-service-5df84bc88c-k8v9q;0.01698470;
2022-04-07 11:30:01;catalog-service-5df84bc88c-k8v9q;0.01698470;
2022-04-07 11:29:31;catalog-service-5df84bc88c-k8v9q;0.01698470;
2022-04-07 11:29:01;catalog-service-5df84bc88c-k8v9q;0.01706545;
2022-04-07 11:28:31;catalog-service-5df84bc88c-k8v9q;0.01706545;
2022-04-07 11:28:01;catalog-service-5df84bc88c-k8v9q;0.01719624;
2022-04-07 11:27:31;catalog-service-5df84bc88c-k8v9q;0.01719624;
2022-04-07 11:27:01;catalog-service-5df84bc88c-k8v9q;0.01719624;
2022-04-07 11:26:31;catalog-service-5df84bc88c-k8v9q;0.01719624;
2022-04-07 11:26:01;catalog-service-5df84bc88c-k8v9q;0.01719624;
2022-04-07 11:25:31;catalog-service-5df84bc88c-k8v9q;0.01778692;
2022-04-07 11:25:01;catalog-service-5df84bc88c-k8v9q;0.01778692;
2022-04-07 11:24:31;catalog-service-5df84bc88c-k8v9q;0.01730502;
2022-04-07 11:24:01;catalog-service-5df84bc88c-k8v9q;0.01809270;
2022-04-07 11:23:31;catalog-service-5df84bc88c-k8v9q;0.01811145;
2022-04-07 11:23:01;catalog-service-5df84bc88c-k8v9q;0.01811145;
2022-04-07 11:22:31;catalog-service-5df84bc88c-k8v9q;0.01811145;
2022-04-07 11:22:01;catalog-service-5df84bc88c-k8v9q;0.01727140;
2022-04-07 11:21:31;catalog-service-5df84bc88c-k8v9q;0.01717017;
2022-04-07 11:21:01;catalog-service-5df84bc88c-k8v9q;0.01706894;
2022-04-07 11:20:31;catalog-service-5df84bc88c-k8v9q;0.01696770;
2022-04-07 11:20:01;catalog-service-5df84bc88c-k8v9q;0.01805821;
2022-04-07 11:19:31;catalog-service-5df84bc88c-k8v9q;0.01802999;
2022-04-07 11:19:01;catalog-service-5df84bc88c-k8v9q;0.01802999;
2022-04-07 11:18:31;catalog-service-5df84bc88c-k8v9q;0.01808697;
2022-04-07 11:18:01;catalog-service-5df84bc88c-k8v9q;0.01808697;
2022-04-07 11:17:31;catalog-service-5df84bc88c-k8v9q;0.01808164;
2022-04-07 11:17:01;catalog-service-5df84bc88c-k8v9q;0.01808164;
2022-04-07 11:16:31;catalog-service-5df84bc88c-k8v9q;0.01808164;
2022-04-07 11:16:01;catalog-service-5df84bc88c-k8v9q;0.01807478;
2022-04-07 11:15:31;catalog-service-5df84bc88c-k8v9q;0.01807478;
2022-04-07 11:15:01;catalog-service-5df84bc88c-k8v9q;0.01807478;
2022-04-07 11:14:31;catalog-service-5df84bc88c-k8v9q;0.01770541;
2022-04-07 11:14:01;catalog-service-5df84bc88c-k8v9q;0.01770541;
2022-04-07 11:13:31;catalog-service-5df84bc88c-k8v9q;0.01741132;
2022-04-07 11:13:01;catalog-service-5df84bc88c-k8v9q;0.01712118;
2022-04-07 11:12:31;catalog-service-5df84bc88c-k8v9q;0.01712118;
2022-04-07 11:12:01;catalog-service-5df84bc88c-k8v9q;0.01699106;
2022-04-07 11:11:31;catalog-service-5df84bc88c-k8v9q;0.01699106;
2022-04-07 11:11:01;catalog-service-5df84bc88c-k8v9q;0.01699106;
2022-04-07 11:10:31;catalog-service-5df84bc88c-k8v9q;0.01699106;
2022-04-07 11:10:01;catalog-service-5df84bc88c-k8v9q;0.01679886;
2022-04-07 11:09:31;catalog-service-5df84bc88c-k8v9q;0.01679886;
2022-04-07 11:09:01;catalog-service-5df84bc88c-k8v9q;0.01679886;
2022-04-07 11:08:31;catalog-service-5df84bc88c-k8v9q;0.01679886;
2022-04-07 11:08:01;catalog-service-5df84bc88c-k8v9q;0.01679886;
2022-04-07 11:07:31;catalog-service-5df84bc88c-k8v9q;0.01679886;
2022-04-07 11:07:01;catalog-service-5df84bc88c-k8v9q;0.01563915;
2022-04-07 11:06:31;catalog-service-5df84bc88c-k8v9q;0.01557402;
2022-04-07 11:06:01;catalog-service-5df84bc88c-k8v9q;0.01642414;
2022-04-07 11:05:31;catalog-service-5df84bc88c-k8v9q;0.01625609;
2022-04-07 11:05:01;catalog-service-5df84bc88c-k8v9q;0.01625609;
2022-04-07 11:04:31;catalog-service-5df84bc88c-k8v9q;0.01625609;
2022-04-07 11:04:01;catalog-service-5df84bc88c-k8v9q;0.01625609;
2022-04-07 11:03:31;catalog-service-5df84bc88c-k8v9q;0.01625609;
2022-04-07 11:03:01;catalog-service-5df84bc88c-k8v9q;0.01625609;
2022-04-07 11:02:31;catalog-service-5df84bc88c-k8v9q;0.01625609;
2022-04-07 11:02:01;catalog-service-5df84bc88c-k8v9q;0.01625609;
2022-04-07 11:01:31;catalog-service-5df84bc88c-k8v9q;0.01592828;
2022-04-07 11:01:01;catalog-service-5df84bc88c-k8v9q;0.01592828;
2022-04-07 11:00:31;catalog-service-5df84bc88c-k8v9q;0.01665391;
2022-04-07 11:00:01;catalog-service-5df84bc88c-k8v9q;0.01760116;
2022-04-07 10:59:31;catalog-service-5df84bc88c-k8v9q;0.01760116;
2022-04-07 10:59:01;catalog-service-5df84bc88c-k8v9q;0.01646805;
2022-04-07 10:58:31;catalog-service-5df84bc88c-k8v9q;0.01731302;
2022-04-07 10:58:01;catalog-service-5df84bc88c-k8v9q;0.01638161;
2022-04-07 10:57:31;catalog-service-5df84bc88c-k8v9q;0.01648520;
2022-04-07 10:57:01;catalog-service-5df84bc88c-k8v9q;0.01576635;
2022-04-07 10:56:31;catalog-service-5df84bc88c-k8v9q;0.01846671;
2022-04-07 10:56:01;catalog-service-5df84bc88c-k8v9q;0.01846671;
2022-04-07 10:55:31;catalog-service-5df84bc88c-k8v9q;0.01846671;
2022-04-07 10:55:01;catalog-service-5df84bc88c-k8v9q;0.01848620;
2022-04-07 10:54:31;catalog-service-5df84bc88c-k8v9q;0.01848620;
2022-04-07 10:54:01;catalog-service-5df84bc88c-k8v9q;0.01769001;
2022-04-07 10:53:31;catalog-service-5df84bc88c-k8v9q;0.01685488;
2022-04-07 10:53:01;catalog-service-5df84bc88c-k8v9q;0.01686035;
2022-04-07 10:52:31;catalog-service-5df84bc88c-k8v9q;0.01790451;
2022-04-07 10:52:01;catalog-service-5df84bc88c-k8v9q;0.01801357;
2022-04-07 10:51:31;catalog-service-5df84bc88c-k8v9q;0.01888097;
2022-04-07 10:51:01;catalog-service-5df84bc88c-k8v9q;0.01888097;
2022-04-07 10:50:31;catalog-service-5df84bc88c-k8v9q;0.01888097;
2022-04-07 10:50:01;catalog-service-5df84bc88c-k8v9q;0.01945319;
2022-04-07 10:49:31;catalog-service-5df84bc88c-k8v9q;0.01983769;
