Time;pod;Value;
2022-04-07 11:40:01;pay-service-d95678cb4-blpv7;0.02785322;
2022-04-07 11:39:31;pay-service-d95678cb4-blpv7;0.02651070;
2022-04-07 11:39:01;pay-service-d95678cb4-blpv7;0.02823558;
2022-04-07 11:38:31;pay-service-d95678cb4-blpv7;0.02823558;
2022-04-07 11:38:01;pay-service-d95678cb4-blpv7;0.02823558;
2022-04-07 11:37:31;pay-service-d95678cb4-blpv7;0.02823558;
2022-04-07 11:37:01;pay-service-d95678cb4-blpv7;0.02806021;
2022-04-07 11:36:31;pay-service-d95678cb4-blpv7;0.02806021;
2022-04-07 11:36:01;pay-service-d95678cb4-blpv7;0.02806021;
2022-04-07 11:35:31;pay-service-d95678cb4-blpv7;0.02806021;
2022-04-07 11:35:01;pay-service-d95678cb4-blpv7;0.02894402;
2022-04-07 11:34:31;pay-service-d95678cb4-blpv7;0.02894402;
2022-04-07 11:34:01;pay-service-d95678cb4-blpv7;0.03036362;
2022-04-07 11:33:31;pay-service-d95678cb4-blpv7;0.03056340;
2022-04-07 11:33:01;pay-service-d95678cb4-blpv7;0.03056340;
2022-04-07 11:32:31;pay-service-d95678cb4-blpv7;0.03056340;
2022-04-07 11:32:01;pay-service-d95678cb4-blpv7;0.03056340;
2022-04-07 11:31:31;pay-service-d95678cb4-blpv7;0.03056340;
2022-04-07 11:31:01;pay-service-d95678cb4-blpv7;0.03056340;
2022-04-07 11:30:31;pay-service-d95678cb4-blpv7;0.02843225;
2022-04-07 11:30:01;pay-service-d95678cb4-blpv7;0.02846934;
2022-04-07 11:29:31;pay-service-d95678cb4-blpv7;0.03369608;
2022-04-07 11:29:01;pay-service-d95678cb4-blpv7;0.03369608;
2022-04-07 11:28:31;pay-service-d95678cb4-blpv7;0.03369608;
2022-04-07 11:28:01;pay-service-d95678cb4-blpv7;0.03369608;
2022-04-07 11:27:31;pay-service-d95678cb4-blpv7;0.03369608;
2022-04-07 11:27:01;pay-service-d95678cb4-blpv7;0.03404722;
2022-04-07 11:26:31;pay-service-d95678cb4-blpv7;0.03385077;
2022-04-07 11:26:01;pay-service-d95678cb4-blpv7;0.03593571;
2022-04-07 11:25:31;pay-service-d95678cb4-blpv7;0.03593571;
2022-04-07 11:25:01;pay-service-d95678cb4-blpv7;0.03670052;
2022-04-07 11:24:31;pay-service-d95678cb4-blpv7;0.03670052;
2022-04-07 11:24:01;pay-service-d95678cb4-blpv7;0.03670052;
2022-04-07 11:23:31;pay-service-d95678cb4-blpv7;0.03670052;
2022-04-07 11:23:01;pay-service-d95678cb4-blpv7;0.03800636;
2022-04-07 11:22:31;pay-service-d95678cb4-blpv7;0.03800636;
2022-04-07 11:22:01;pay-service-d95678cb4-blpv7;0.03800636;
2022-04-07 11:21:31;pay-service-d95678cb4-blpv7;0.03902442;
2022-04-07 11:21:01;pay-service-d95678cb4-blpv7;0.03902442;
2022-04-07 11:20:31;pay-service-d95678cb4-blpv7;0.03902442;
2022-04-07 11:20:01;pay-service-d95678cb4-blpv7;0.03902442;
2022-04-07 11:19:31;pay-service-d95678cb4-blpv7;0.03902442;
2022-04-07 11:19:01;pay-service-d95678cb4-blpv7;0.03840470;
2022-04-07 11:18:31;pay-service-d95678cb4-blpv7;0.03876084;
2022-04-07 11:18:01;pay-service-d95678cb4-blpv7;0.04056830;
2022-04-07 11:17:31;pay-service-d95678cb4-blpv7;0.04035965;
2022-04-07 11:17:01;pay-service-d95678cb4-blpv7;0.04130043;
2022-04-07 11:16:31;pay-service-d95678cb4-blpv7;0.04385174;
2022-04-07 11:16:01;pay-service-d95678cb4-blpv7;0.04385174;
2022-04-07 11:15:31;pay-service-d95678cb4-blpv7;0.04241412;
2022-04-07 11:15:01;pay-service-d95678cb4-blpv7;0.04241412;
2022-04-07 11:14:31;pay-service-d95678cb4-blpv7;0.04078938;
2022-04-07 11:14:01;pay-service-d95678cb4-blpv7;0.04078938;
2022-04-07 11:13:31;pay-service-d95678cb4-blpv7;0.04078938;
2022-04-07 11:13:01;pay-service-d95678cb4-blpv7;0.04078938;
2022-04-07 11:12:31;pay-service-d95678cb4-blpv7;0.04078938;
2022-04-07 11:12:01;pay-service-d95678cb4-blpv7;0.04078938;
2022-04-07 11:11:31;pay-service-d95678cb4-blpv7;0.04078938;
2022-04-07 11:11:01;pay-service-d95678cb4-blpv7;0.04072169;
2022-04-07 11:10:31;pay-service-d95678cb4-blpv7;0.04072169;
2022-04-07 11:10:01;pay-service-d95678cb4-blpv7;0.04009599;
2022-04-07 11:09:31;pay-service-d95678cb4-blpv7;0.04009599;
