Time;pod;Value;
2022-04-07 11:40:01;user-service-647d47cd4-wnnf4;0.01794633;
2022-04-07 11:39:31;user-service-647d47cd4-wnnf4;0.01817110;
2022-04-07 11:39:01;user-service-647d47cd4-wnnf4;0.01891380;
2022-04-07 11:38:31;user-service-647d47cd4-wnnf4;0.01799908;
2022-04-07 11:38:01;user-service-647d47cd4-wnnf4;0.01799404;
2022-04-07 11:37:31;user-service-647d47cd4-wnnf4;0.01879787;
2022-04-07 11:37:01;user-service-647d47cd4-wnnf4;0.01868342;
2022-04-07 11:36:31;user-service-647d47cd4-wnnf4;0.01966467;
2022-04-07 11:36:01;user-service-647d47cd4-wnnf4;0.01966467;
2022-04-07 11:35:31;user-service-647d47cd4-wnnf4;0.01966467;
2022-04-07 11:35:01;user-service-647d47cd4-wnnf4;0.01927991;
2022-04-07 11:34:31;user-service-647d47cd4-wnnf4;0.01927991;
2022-04-07 11:34:01;user-service-647d47cd4-wnnf4;0.01927991;
2022-04-07 11:33:31;user-service-647d47cd4-wnnf4;0.01927991;
2022-04-07 11:33:01;user-service-647d47cd4-wnnf4;0.01927991;
2022-04-07 11:32:31;user-service-647d47cd4-wnnf4;0.01927991;
2022-04-07 11:32:01;user-service-647d47cd4-wnnf4;0.01927991;
2022-04-07 11:31:31;user-service-647d47cd4-wnnf4;0.01927991;
2022-04-07 11:31:01;user-service-647d47cd4-wnnf4;0.01752180;
2022-04-07 11:30:31;user-service-647d47cd4-wnnf4;0.01788541;
2022-04-07 11:30:01;user-service-647d47cd4-wnnf4;0.01788541;
2022-04-07 11:29:31;user-service-647d47cd4-wnnf4;0.01827179;
2022-04-07 11:29:01;user-service-647d47cd4-wnnf4;0.01827179;
2022-04-07 11:28:31;user-service-647d47cd4-wnnf4;0.01748748;
2022-04-07 11:28:01;user-service-647d47cd4-wnnf4;0.01863656;
2022-04-07 11:27:31;user-service-647d47cd4-wnnf4;0.01775133;
2022-04-07 11:27:01;user-service-647d47cd4-wnnf4;0.01765288;
2022-04-07 11:26:31;user-service-647d47cd4-wnnf4;0.01755443;
2022-04-07 11:26:01;user-service-647d47cd4-wnnf4;0.01745598;
2022-04-07 11:25:31;user-service-647d47cd4-wnnf4;0.01920795;
2022-04-07 11:25:01;user-service-647d47cd4-wnnf4;0.01926590;
2022-04-07 11:24:31;user-service-647d47cd4-wnnf4;0.01926590;
2022-04-07 11:24:01;user-service-647d47cd4-wnnf4;0.01926590;
2022-04-07 11:23:31;user-service-647d47cd4-wnnf4;0.01917177;
2022-04-07 11:23:01;user-service-647d47cd4-wnnf4;0.01917177;
2022-04-07 11:22:31;user-service-647d47cd4-wnnf4;0.01911917;
2022-04-07 11:22:01;user-service-647d47cd4-wnnf4;0.01911917;
2022-04-07 11:21:31;user-service-647d47cd4-wnnf4;0.01911917;
2022-04-07 11:21:01;user-service-647d47cd4-wnnf4;0.01911917;
