Time;pod;Value;
2022-04-07 11:40:01;catalog-service-5df84bc88c-k8v9q;759.08 MB;
2022-04-07 11:39:31;catalog-service-5df84bc88c-k8v9q;505.84 MB;
2022-04-07 11:39:01;catalog-service-5df84bc88c-k8v9q;505.84 MB;
2022-04-07 11:38:31;catalog-service-5df84bc88c-k8v9q;505.84 MB;
2022-04-07 11:38:01;catalog-service-5df84bc88c-k8v9q;759.41 MB;
2022-04-07 11:37:31;catalog-service-5df84bc88c-k8v9q;253.57 MB;
2022-04-07 11:37:01;catalog-service-5df84bc88c-k8v9q;253.57 MB;
2022-04-07 11:36:31;catalog-service-5df84bc88c-k8v9q;253.57 MB;
2022-04-07 11:36:01;catalog-service-5df84bc88c-k8v9q;506.90 MB;
2022-04-07 11:35:31;catalog-service-5df84bc88c-k8v9q;760.23 MB;
2022-04-07 11:35:01;catalog-service-5df84bc88c-k8v9q;760.23 MB;
2022-04-07 11:34:31;catalog-service-5df84bc88c-k8v9q;760.23 MB;
2022-04-07 11:34:01;catalog-service-5df84bc88c-k8v9q;760.23 MB;
2022-04-07 11:33:31;catalog-service-5df84bc88c-k8v9q;760.23 MB;
2022-04-07 11:33:01;catalog-service-5df84bc88c-k8v9q;506.66 MB;
2022-04-07 11:32:31;catalog-service-5df84bc88c-k8v9q;506.66 MB;
2022-04-07 11:32:01;catalog-service-5df84bc88c-k8v9q;506.66 MB;
2022-04-07 11:31:31;catalog-service-5df84bc88c-k8v9q;506.66 MB;
2022-04-07 11:31:01;catalog-service-5df84bc88c-k8v9q;253.33 MB;
2022-04-07 11:30:31;catalog-service-5df84bc88c-k8v9q;504.89 MB;
2022-04-07 11:30:01;catalog-service-5df84bc88c-k8v9q;504.89 MB;
2022-04-07 11:29:31;catalog-service-5df84bc88c-k8v9q;757.64 MB;
2022-04-07 11:29:01;catalog-service-5df84bc88c-k8v9q;757.64 MB;
2022-04-07 11:28:31;catalog-service-5df84bc88c-k8v9q;757.64 MB;
2022-04-07 11:28:01;catalog-service-5df84bc88c-k8v9q;757.64 MB;
2022-04-07 11:27:31;catalog-service-5df84bc88c-k8v9q;757.64 MB;
2022-04-07 11:27:01;catalog-service-5df84bc88c-k8v9q;757.64 MB;
2022-04-07 11:26:31;catalog-service-5df84bc88c-k8v9q;757.64 MB;
2022-04-07 11:26:01;catalog-service-5df84bc88c-k8v9q;757.64 MB;
2022-04-07 11:25:31;catalog-service-5df84bc88c-k8v9q;252.75 MB;
2022-04-07 11:25:01;catalog-service-5df84bc88c-k8v9q;252.75 MB;
2022-04-07 11:23:31;catalog-service-5df84bc88c-k8v9q;252.49 MB;
2022-04-07 11:23:01;catalog-service-5df84bc88c-k8v9q;252.49 MB;
2022-04-07 11:22:31;catalog-service-5df84bc88c-k8v9q;505.14 MB;
2022-04-07 11:22:01;catalog-service-5df84bc88c-k8v9q;505.14 MB;
2022-04-07 11:21:31;catalog-service-5df84bc88c-k8v9q;505.14 MB;
2022-04-07 11:21:01;catalog-service-5df84bc88c-k8v9q;757.53 MB;
2022-04-07 11:20:31;catalog-service-5df84bc88c-k8v9q;757.53 MB;
2022-04-07 11:20:01;catalog-service-5df84bc88c-k8v9q;757.53 MB;
2022-04-07 11:19:31;catalog-service-5df84bc88c-k8v9q;757.53 MB;
2022-04-07 11:19:01;catalog-service-5df84bc88c-k8v9q;757.53 MB;
2022-04-07 11:18:31;catalog-service-5df84bc88c-k8v9q;505.04 MB;
2022-04-07 11:18:01;catalog-service-5df84bc88c-k8v9q;505.04 MB;
2022-04-07 11:17:31;catalog-service-5df84bc88c-k8v9q;252.39 MB;
2022-04-07 11:17:01;catalog-service-5df84bc88c-k8v9q;505.47 MB;
2022-04-07 11:16:31;catalog-service-5df84bc88c-k8v9q;505.47 MB;
2022-04-07 11:16:01;catalog-service-5df84bc88c-k8v9q;253.08 MB;
2022-04-07 11:15:31;catalog-service-5df84bc88c-k8v9q;253.08 MB;
2022-04-07 11:15:01;catalog-service-5df84bc88c-k8v9q;505.93 MB;
2022-04-07 11:14:31;catalog-service-5df84bc88c-k8v9q;505.93 MB;
2022-04-07 11:14:01;catalog-service-5df84bc88c-k8v9q;505.93 MB;
2022-04-07 11:13:31;catalog-service-5df84bc88c-k8v9q;505.93 MB;
2022-04-07 11:13:01;catalog-service-5df84bc88c-k8v9q;505.93 MB;
2022-04-07 11:12:31;catalog-service-5df84bc88c-k8v9q;505.93 MB;
2022-04-07 11:12:01;catalog-service-5df84bc88c-k8v9q;503.64 MB;
2022-04-07 11:11:31;catalog-service-5df84bc88c-k8v9q;503.64 MB;
2022-04-07 11:11:01;catalog-service-5df84bc88c-k8v9q;503.64 MB;
2022-04-07 11:10:31;catalog-service-5df84bc88c-k8v9q;754.54 MB;
2022-04-07 11:10:01;catalog-service-5df84bc88c-k8v9q;501.68 MB;
2022-04-07 11:09:31;catalog-service-5df84bc88c-k8v9q;501.68 MB;
