Time;pod;Value;
2022-04-07 10:15:31;user-service-647d47cd4-wnnf4;761.27 MB;
2022-04-07 10:15:01;user-service-647d47cd4-wnnf4;761.27 MB;
2022-04-07 10:14:31;user-service-647d47cd4-wnnf4;761.27 MB;
2022-04-07 10:14:01;user-service-647d47cd4-wnnf4;761.27 MB;
2022-04-07 10:13:31;user-service-647d47cd4-wnnf4;761.27 MB;
2022-04-07 10:13:01;user-service-647d47cd4-wnnf4;761.27 MB;
2022-04-07 10:12:31;user-service-647d47cd4-wnnf4;761.27 MB;
2022-04-07 10:12:01;user-service-647d47cd4-wnnf4;761.27 MB;
2022-04-07 09:59:01;user-service-647d47cd4-wnnf4;757.67 MB;
2022-04-07 09:58:31;user-service-647d47cd4-wnnf4;757.67 MB;
2022-04-07 09:58:01;user-service-647d47cd4-wnnf4;757.67 MB;
2022-04-07 09:57:31;user-service-647d47cd4-wnnf4;757.67 MB;
2022-04-07 10:06:31;user-service-647d47cd4-wnnf4;756.29 MB;
2022-04-07 10:06:01;user-service-647d47cd4-wnnf4;756.29 MB;
2022-04-07 10:05:31;user-service-647d47cd4-wnnf4;756.29 MB;
2022-04-07 10:05:01;user-service-647d47cd4-wnnf4;756.29 MB;
2022-04-07 10:04:31;user-service-647d47cd4-wnnf4;756.29 MB;
2022-04-07 09:56:31;user-service-647d47cd4-wnnf4;755.56 MB;
2022-04-07 09:56:01;user-service-647d47cd4-wnnf4;755.56 MB;
2022-04-07 09:55:31;user-service-647d47cd4-wnnf4;755.56 MB;
2022-04-07 09:52:01;user-service-647d47cd4-wnnf4;753.85 MB;
2022-04-07 10:22:31;user-service-647d47cd4-wnnf4;753.46 MB;
2022-04-07 10:22:01;user-service-647d47cd4-wnnf4;753.46 MB;
2022-04-07 10:21:31;user-service-647d47cd4-wnnf4;753.46 MB;
2022-04-07 10:29:01;user-service-647d47cd4-wnnf4;753.06 MB;
2022-04-07 10:28:31;user-service-647d47cd4-wnnf4;753.06 MB;
